,brand,title,storage,camera,battery,total_ratings,avg_rating,total_reviews,price
60,Xiaomi,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,64MP + 8MP + 5MP | 20MP Front Camera,4250 mAh Battery,"1,854",4.2,192,"22,799"
61,OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",8 GB RAM | 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"11,131",4.4,902,"28,999"
62,SAMSUNG,"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,108MP + 8MP + 2MP | 32MP Front Camera,6000 mAh Battery,"4,032",4.1,490,"29,999"
63,OPPO,"OPPO F21S PRO (Dawnlight Gold, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,64MP + 2MP + 2MP | 32MP + 2MP Dual Front Camera,4500 mAh Battery,667,4.1,48,"18,636"
64,realme,"realme GT 2 (Steel Black, 256 GB)",12 GB RAM | 256 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,"1,369",4.4,179,"28,999"
65,REDMI,"REDMI K50i 5G (Stealth Black, 128 GB)",6 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 16MP Front Camera,5080 mAh Battery,"3,256",4.2,343,"20,999"
66,vivo,"vivo V25 Pro 5G (Pure Black, 128 GB)",8 GB RAM | 128 GB ROM,64MP + 8MP + 2MP | 32MP Front Camera,4830 mAh Lithium Battery,"6,931",4.3,896,"35,999"
67,vivo,"vivo Y100 5G (Pacific Blue, 128 GB)",8 GB RAM | 128 GB ROM,64MP (OIS) + 2MP + 2MP | 16MP Front Camera,4500 mAh Battery,"1,863",4.3,128,"23,999"
68,SAMSUNG,"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,48MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Li-ion Battery Battery,"1,537",4.2,134,"32,999"
69,POCO,"POCO F5 5G (Electric Blue, 256 GB)",12 GB RAM | 256 GB ROM,64MP (OIS) + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,994,4.2,142,"29,999"
70,REDMI,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)",8 GB RAM | 256 GB ROM,200MP + 8MP + 2MP | 16MP Front Camera,4980 mAh Lithium Polymer Battery,"13,790",4.3,"1,442","29,999"
71,SAMSUNG,"SAMSUNG Galaxy A23 (Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,596,4.3,38,"19,990"
